color,r,g,b,cluster
grey,170,170,170,1
pink,250,0,90,2
gold,250,200,0,0
nude,250,180,120,1
orange,250,110,0,2
white,255,255,255,1
blue,0,0,255,3
green,0,255,0,4
red,255,0,0,2
black,0,0,0,4
brown,180,50,0,2
yellow,255,255,0,0
purple,180,50,255,3
